70	هوبی توکن	Huobi Token	HT	5.19	1,695,500	0.78%	1401/04/2 12:04
71	هوبی بی تی اس	Huobi BTC	HBTC	20538.12	6,709,598,400	1.93%	1401/04/2 12:02
74	نوترینو یو اس دی	Neutrino USD	USDN	0.993071	324,400	0.21%	1401/04/2 12:04
75	 د گراف	The Graph	GRT	0.111865	36,500	4.91%	1401/04/2 12:04
77	لیکوییتی یو اس دی 	Liquity USD	LUSD	1.02	333,200	0.00%	1401/04/2 11:43
78	ای کش	eCash	XEC	3.8e-05	12	2.70%	1401/04/2 09:01
80	کلیتن	Klaytn	KLAY	0.248494	81,200	0.20%	1401/04/2 12:04
81	USDD	USDD	USDD	0.975281	318,600	0.26%	1401/04/2 12:04
83	ویوز	Waves	WAVES	6.36	2,077,700	1.76%	1401/04/2 12:04
84	فانتوم	Fantom	FTM	0.271171	88,600	3.97%	1401/04/2 12:04
85	اوکی بی	OKB	OKB	11.39	3,721,000	1.24%	1401/04/2 11:57
86	کوانت	Quant	QNT	54.89	17,932,000	0.46%	1401/04/2 12:04
87	ثور چین	THORChain	RUNE	1.99	650,100	11.17%	1401/04/2 12:04
88	نئو	Neo	NEO	9.22	3,012,100	2.56%	1401/04/2 12:04
89	پکس گلد	PAX Gold	PAXG	1839.13	600,825,400	0.20%	1401/04/2 12:04
90	بیسیک اتنشن توکن	Basic Attention Token	BAT	0.389716	127,300	4.40%	1401/04/2 12:04
91	چیلیز	Chiliz	CHZ	0.096078	31,400	3.46%	1401/04/2 12:04
92	زیلیکا	Zilliqa	ZIL	0.041248	13,500	3.84%	1401/04/2 12:04
93	لوپرینگ	Loopring	LRC	0.397984	130,000	3.39%	1401/04/2 12:04
94	استیکس	Stacks	STX	0.393776	128,600	2.49%	1401/04/2 12:04
96	دش	Dash	DASH	47.17	15,410,000	2.77%	1401/04/2 12:04
97	دیفای چین	DeFiChain	DFI	0.996093	325,400	0.67%	1401/04/2 12:02
98	BitTorrent	BitTorrent	BTTOLD	0.000489	200	0.61%	1401/04/2 12:02

0	بیت کوین	Bitcoin	BTC	20583.96	6,719,222,100	2.08%	1401/04/2 13:01
1	اتریوم	Ethereum	ETH	1100.21	359,141,600	2.05%	1401/04/2 13:01
2	بایننس کوین	Binance Coin	BNB	223.52	72,963,600	3.07%	1401/04/2 13:01
3	تتر	Tether	USDT	0.999182	325,980	0.02%	1401/04/2 13:01
4	یو اس دی کوین	USD Coin	USDC	1.0	326,400	0.00%	1401/04/2 13:01
5	BNB	BNB	BNB	223.52	72,963,600	3.07%	1401/04/2 13:01
6	بایننس یو اس دی	Binance USD	BUSD	0.999347	326,200	0.06%	1401/04/2 13:01
7	کاردانو	Cardano	ADA	0.473822	154,700	1.14%	1401/04/2 13:01
8	ریپل	Ripple	XRP	0.328214	107,100	1.70%	1401/04/2 13:01
9	سولانا	Solana	SOL	36.56	11,934,300	6.09%	1401/04/2 13:01
11	دوج کوین	Dogecoin	DOGE	0.064334	21,000	2.94%	1401/04/2 13:01
12	پولکا دات	Polkadot	DOT	7.63	2,490,700	0.66%	1401/04/2 13:01
13	هگز	HEX	HEX	0.041324	13,500	0.41%	1401/04/2 13:01
15	دای	Dai	DAI	1.0	326,400	0.03%	1401/04/2 12:43
16	Wrapped TRON	Wrapped TRON	WTRX	0.064079	20,900	0.71%	1401/04/2 12:56
